real_time,simulated_time,pressure_bar,pressure_state,motion,distance_cm,room_state
2025-12-04T11:32:50.781470,13:14,0,empty,IN,999,moving_in_room
2025-12-04T11:32:51.282392,13:15,0,empty,IN,999,moving_in_room
2025-12-04T11:32:51.782597,13:16,0,empty,OUT,999,room_empty
2025-12-04T11:32:52.282809,13:18,0,empty,OUT,999,room_empty
2025-12-04T11:32:52.783020,13:19,0,empty,OUT,999,room_empty
2025-12-04T11:32:53.283226,13:20,0,empty,OUT,999,room_empty
2025-12-04T11:32:53.783434,13:21,0,empty,OUT,999,room_empty
2025-12-04T11:32:54.283799,13:22,0,empty,OUT,999,room_empty
2025-12-04T11:32:54.784009,13:24,0,empty,OUT,999,room_empty
2025-12-04T11:32:55.284212,13:25,0,empty,OUT,999,room_empty
2025-12-04T11:32:55.784415,13:26,0,empty,OUT,999,room_empty
2025-12-04T11:32:56.284621,13:27,0,empty,OUT,999,room_empty
2025-12-04T11:32:56.784833,13:28,0,empty,OUT,999,room_empty
2025-12-04T11:32:57.285161,13:30,0,empty,OUT,999,room_empty
2025-12-04T11:32:57.785369,13:31,0,empty,OUT,999,room_empty
2025-12-04T11:32:58.285588,13:32,0,empty,OUT,999,room_empty
2025-12-04T11:32:58.785841,13:33,0,empty,OUT,999,room_empty
2025-12-04T11:32:59.286045,13:34,0,empty,OUT,999,room_empty
2025-12-04T11:32:59.786247,13:36,0,empty,OUT,999,room_empty
2025-12-04T11:33:00.286559,13:37,0,empty,OUT,999,room_empty
2025-12-04T11:33:00.786758,13:38,0,empty,OUT,999,room_empty
2025-12-04T11:33:01.286966,13:39,0,empty,OUT,999,room_empty
2025-12-04T11:33:01.787171,13:41,0,empty,OUT,999,room_empty
2025-12-04T11:33:02.287377,13:42,0,empty,OUT,999,room_empty
2025-12-04T11:33:02.787584,13:43,0,empty,OUT,999,room_empty
2025-12-04T11:33:03.287904,13:44,0,empty,OUT,999,room_empty
2025-12-04T11:33:03.788113,13:45,0,empty,OUT,999,room_empty
2025-12-04T11:33:04.288313,13:46,0,empty,OUT,999,room_empty
2025-12-04T11:33:04.788495,13:48,0,empty,IN,999,moving_in_room
2025-12-04T11:33:05.288694,13:49,0,empty,IN,999,moving_in_room
2025-12-04T11:33:05.788874,13:50,0,empty,IN,999,moving_in_room
2025-12-04T11:33:06.289206,13:51,0,empty,IN,999,moving_in_room
2025-12-04T11:33:06.789409,13:53,0,empty,IN,999,moving_in_room
2025-12-04T11:33:07.289611,13:54,0,empty,IN,999,moving_in_room
2025-12-04T11:33:07.789795,13:55,0,empty,IN,999,moving_in_room
2025-12-04T11:33:08.289994,13:56,0,empty,IN,999,moving_in_room
2025-12-04T11:33:08.790176,13:57,0,empty,IN,999,moving_in_room
2025-12-04T11:33:09.290481,13:59,0,empty,IN,999,moving_in_room
2025-12-04T11:33:09.790688,14:00,0,empty,IN,999,moving_in_room
2025-12-04T11:33:10.290895,14:01,0,empty,IN,999,moving_in_room
2025-12-04T11:33:10.791091,14:02,0,empty,IN,999,moving_in_room
2025-12-04T11:33:11.291300,14:03,0,empty,IN,999,moving_in_room
2025-12-04T11:33:11.791494,14:05,0,empty,IN,999,moving_in_room
2025-12-04T11:33:12.291902,14:06,0,empty,IN,999,moving_in_room
2025-12-04T11:33:12.792110,14:07,0,empty,IN,999,moving_in_room
2025-12-04T11:33:13.292310,14:08,0,empty,IN,999,moving_in_room
2025-12-04T11:33:13.792500,14:09,0,empty,IN,999,moving_in_room
2025-12-04T11:33:14.292704,14:11,0,empty,IN,999,moving_in_room
2025-12-04T11:33:14.792898,14:12,0,empty,IN,999,moving_in_room
2025-12-04T11:33:15.293248,14:13,0,empty,IN,999,moving_in_room
2025-12-04T11:33:15.793443,14:14,0,empty,IN,999,moving_in_room
2025-12-04T11:33:16.293638,14:15,0,empty,IN,999,moving_in_room
2025-12-04T11:33:16.793831,14:17,0,empty,IN,999,moving_in_room
2025-12-04T11:33:17.294039,14:18,0,empty,IN,999,moving_in_room
2025-12-04T11:33:17.794218,14:19,0,empty,OUT,999,room_empty
2025-12-04T11:33:18.294616,14:20,0,empty,OUT,999,room_empty
2025-12-04T11:33:18.794828,14:21,0,empty,OUT,999,room_empty
2025-12-04T11:33:19.295032,14:23,0,empty,OUT,999,room_empty
2025-12-04T11:33:19.795221,14:24,0,empty,OUT,999,room_empty
2025-12-04T11:33:20.295422,14:25,0,empty,OUT,999,room_empty
2025-12-04T11:33:20.795632,14:26,0,empty,OUT,999,room_empty
2025-12-04T11:33:21.296050,14:27,0,empty,OUT,999,room_empty
2025-12-04T11:33:21.796261,14:29,0,empty,OUT,999,room_empty
2025-12-04T11:33:22.296467,14:30,0,empty,OUT,999,room_empty
